movie_title,genre,release_date,director,box_office_revenue,rating,duration_minutes,production_company,quote
"House on Sorority Row, The",Horror,1/23/1901,Seamus Woodhead,$73284333.42,4.8,218,Youfeed,Vision-oriented exuding frame
That Cold Day in the Park,Comedy,5/4/2021,Benedetto MacGeffen,$28316576.66,9.7,113,Topiclounge,Synchronised eco-centric local area network
The Appointments of Dennis Jennings,Drama,7/31/1992,Hestia Farran,$35451753.10,8.5,149,Photobean,Grass-roots motivating definition
Sixteen Candles,Horror,12/29/1921,Jenny Mainstone,$69618925.67,0.1,90,Browsezoom,Expanded human-resource adapter
"Mechanic, The",Action,4/28/1988,Rae Beilby,$94202583.17,1.0,222,Centimia,Open-source hybrid core
Mona and the Time of Burning Love (Mona ja palavan rakkauden aika)),Comedy,11/1/1927,Tedi Annakin,$81888617.07,9.9,146,Jaxspan,Re-contextualized dynamic challenge
"Battle of Shaker Heights, The",Drama,10/11/1907,Chicky Kyndred,$41272992.21,9.3,71,Kwinu,Re-contextualized radical Graphical User Interface
Doctor Zhivago,Romance,8/23/1980,Ganny Aisbett,$81775969.90,2.4,178,Zooveo,Expanded 24 hour circuit
Document of the Dead,Comedy,6/23/1975,Staffard Fynn,$98557391.94,0.3,156,Quamba,Optional holistic extranet
Oedipus Rex (Edipo re),Drama,5/1/1963,Gwenette Campsall,$63744448.28,7.4,138,Flipopia,Synergized encompassing intranet
Scrooged,Horror,4/15/1990,Ingeberg Ganing,$88622288.90,8.5,212,Linkbridge,Devolved secondary portal
Used People,Drama,8/28/1967,Karoly Achurch,$30743642.28,9.9,218,Blogpad,Team-oriented next generation capacity
"Pirates! Band of Misfits, The",Romance,10/24/1960,Ruthy Barden,$59589845.56,9.8,216,Eare,Visionary methodical paradigm
Dragnet,Horror,7/9/1994,Lanie Quilter,$4581003.24,6.9,161,Tazz,Integrated client-driven forecast
Home of the Brave,Comedy,9/3/1931,Nikki McCoole,$75833130.79,0.3,214,Blognation,Universal methodical approach
Burrowing (Man tänker sitt),Action,10/21/1985,Leonid Jencken,$40875659.45,4.4,178,Zooveo,Streamlined attitude-oriented concept
The Plague of the Zombies,Action,8/1/2008,Titos Cawsey,$57321482.21,9.0,240,Skyndu,Fully-configurable bi-directional attitude
Home Movie,Action,9/15/1998,Patrice Elletson,$83783142.86,6.5,240,Dabtype,Open-source value-added framework
Empire of the Sun,Action,4/7/2014,Hadley Batkin,$52127083.73,0.7,79,Browsebug,Horizontal client-driven open system
Big Easy Express,Drama,8/20/2002,Romeo Motte,$9324979.35,1.0,78,Trudeo,Customer-focused scalable migration
Cheap Thrills,Action,5/4/1989,Candy Dilloway,$4809768.66,0.7,234,Muxo,Triple-buffered global orchestration
The Guardians,Romance,4/11/1960,Guglielmo Brear,$46354598.98,8.7,129,Lazzy,Fundamental background solution
This Above All,Romance,10/10/1940,Carolee Gilks,$74308915.90,4.8,177,Flipopia,Persistent homogeneous hub
Morituri,Action,10/20/1921,Tod Braxay,$15004342.25,5.1,185,Linkbridge,Horizontal systemic knowledge user
War of the Arrows (Choi-jong-byeong-gi Hwal),Comedy,1/4/2000,Geraldine Paulley,$21705189.27,5.1,167,Yoveo,Optimized tertiary website
Hansel & Gretel: Witch Hunters,Horror,8/17/2017,Ardis Bishopp,$72243980.19,6.0,101,Digitube,Programmable cohesive model
Elizabethtown,Comedy,12/14/2016,Tiertza Skain,$33925241.96,7.4,83,Realpoint,Fully-configurable systemic local area network
Berserk: The Golden Age Arc - The Egg of the King,Action,11/16/1951,Dilly Steuhlmeyer,$24172326.85,3.2,135,Topiclounge,Cross-platform maximized benchmark
Champagne,Action,5/16/1961,Jorey Pritchitt,$81758868.25,0.2,133,Yozio,Phased bifurcated data-warehouse
How to Live Forever,Comedy,7/29/1975,Dacia Linay,$11237378.93,5.6,180,Katz,Phased multi-state secured line
Fool's Gold,Drama,6/1/1998,Pen Pirrey,$22405600.20,5.1,219,Voonyx,Proactive asymmetric Graphic Interface
Little Dieter Needs to Fly,Comedy,4/29/1988,Hurley Leacy,$47761424.73,3.4,126,Flashspan,Function-based mobile benchmark
"Right Stuff, The",Action,8/30/1993,Chickie Lethbury,$34535754.83,6.7,64,Babbleopia,Business-focused dynamic structure
Too Late Blues,Comedy,4/3/1903,Kendell Iiannoni,$30448111.30,3.7,183,Fivespan,De-engineered zero defect artificial intelligence
Little Voice,Comedy,3/15/1989,Kylie Dinis,$60307832.14,4.8,238,Linkbuzz,Enterprise-wide 3rd generation groupware
The Death and Life of Bobby Z,Drama,6/10/1990,Marinna Viste,$80522900.76,6.9,174,Jaxnation,Configurable discrete synergy
Dragon Age: Blood mage no seisen (a.k.a. Dragon Age: Dawn of the Seeker),Action,4/13/1959,Gifford Crosi,$94814033.24,1.7,207,Gevee,Right-sized impactful system engine
JFK,Action,2/26/1961,Diane Harses,$52825007.65,1.5,125,Kanoodle,Programmable executive forecast
But I'm a Cheerleader,Action,4/1/1977,Balduin McAlinden,$52168140.71,7.8,75,Muxo,Front-line motivating encoding
"Hippie Revolution, The",Horror,8/31/1940,Des Vigar,$88417187.53,9.7,183,Flashspan,Automated real-time application
"Search for One-eye Jimmy, The",Romance,2/16/1912,Zoe Petrushanko,$22238698.86,4.1,218,Voolia,Focused intangible groupware
"Notorious Bettie Page, The",Action,9/30/1919,Nertie Buckner,$11713843.56,8.6,105,Mydo,Ergonomic disintermediate task-force
Jason X,Comedy,7/6/1923,Lucie Gamon,$29461784.90,9.1,220,Wordware,Assimilated hybrid contingency
Infestation,Action,7/4/1992,Delora Rossoni,$50499267.65,3.8,119,Yodel,Organized modular capacity
Pokémon the Movie: White - Victini and Zekrom,Action,9/4/2007,Anthiathia Boshier,$4364366.53,7.6,70,Reallinks,Self-enabling static hub
You Again,Drama,12/13/2002,Hadleigh Judgkins,$40884642.69,3.0,162,Rhynyx,Intuitive background neural-net
"Theatre Bizarre, The",Action,9/18/1994,Barrett Fumagall,$9161903.45,8.2,230,Twinte,Digitized directional throughput
Richard Pryor: Live in Concert,Action,5/26/1919,Jordon Dumbare,$80523527.14,5.9,216,Dabvine,Synchronised full-range capability
Walk of Shame,Action,2/18/1937,Inna Pickwell,$90418026.76,7.1,133,Meedoo,Synchronised impactful capacity
"Burmese Harp, The (Biruma no tategoto)",Action,6/6/1952,Burch Rylance,$67515468.78,2.3,199,Fanoodle,Extended intangible website
Hollow Man II,Drama,12/13/1974,Dare Beames,$75077409.37,8.6,234,Jaxnation,Implemented 3rd generation interface
Papusza,Horror,10/20/2016,Alexia Pedler,$13094169.74,7.2,174,Rhynyx,Front-line clear-thinking leverage
Ringu 2 (Ring 2),Horror,8/22/1970,Roz Derdes,$7699572.93,1.8,165,Realblab,Horizontal clear-thinking architecture
More Than Honey,Romance,1/26/1921,Aurel Blunderfield,$45942686.50,6.0,173,Agimba,Ameliorated holistic local area network
You Are So Beautiful (Je vous trouve très beau),Romance,4/6/1992,Lizzy Livingstone,$67477425.44,1.4,157,Voonder,Grass-roots coherent collaboration
Modern Boy (Modeon boi),Horror,11/4/2017,Allyn Essex,$68213871.68,5.5,148,Skyble,Cross-platform methodical toolset
"Holy Girl, The (Niña santa, La)",Action,5/4/2009,Wyndham Cathesyed,$95712054.22,9.1,240,Fliptune,Reverse-engineered disintermediate protocol
Harum Scarum,Romance,1/27/2002,Roselia Stovin,$70605242.69,3.5,144,Fiveclub,Upgradable encompassing budgetary management
"Pursuit of D.B. Cooper, The (a.k.a. Pursuit)",Horror,11/24/1959,Susana Euels,$27460123.31,0.0,216,Zoomzone,Optimized motivating encryption
X,Romance,2/4/1907,Alf Maloney,$57710140.89,6.1,223,Lajo,Profound zero administration support
Bread and Chocolate (Pane e cioccolata),Romance,5/27/1928,Lay Leith,$99108278.67,1.4,236,Agivu,Extended cohesive structure
Rudo y Cursi (Rough and Vulgar),Drama,6/3/1934,Rina Aliman,$30124525.31,1.9,216,Roombo,Phased exuding middleware
Blame it on Fidel! (La faute à Fidel!),Horror,3/25/1905,Trent Mc Gaughey,$70373759.58,0.6,155,Vinder,Future-proofed discrete matrices
Morocco,Horror,7/4/1940,Kathryn Gorey,$45907634.31,2.3,103,Mybuzz,Devolved coherent archive
"Letter, The",Horror,3/21/1943,Zitella McDuff,$16113555.29,7.0,113,Eire,Future-proofed logistical encryption
Spider-Man: The Ultimate Villain Showdown,Horror,10/8/1968,Jami Younglove,$55765941.90,8.8,100,Jayo,Seamless full-range architecture
Puzzlehead,Comedy,10/20/2002,Nevile Bouttell,$54116703.41,0.7,92,Pixope,Balanced zero tolerance Graphic Interface
"Black Cat, White Cat (Crna macka, beli macor)",Drama,5/17/2015,Stephen Kacheler,$75098967.55,0.3,115,Oloo,Customer-focused neutral open system
Private Hell 36,Horror,8/25/2019,Reggy Balston,$93446700.14,0.8,189,Wikivu,Configurable object-oriented matrices
Life Is a Long Quiet River (La vie est un long fleuve tranquille),Comedy,5/19/1937,Sydelle Duffan,$98358723.31,1.5,79,Browseblab,User-friendly optimizing flexibility
"Osterman Weekend, The",Comedy,5/17/1976,Iago Paladino,$43515815.24,3.8,208,Feedfish,Innovative incremental firmware
Rikyu,Comedy,2/7/1982,Leilah Roskrug,$8253541.15,2.5,136,Minyx,Centralized responsive encoding
"Jungle Book of Regulations, A (Nie Ma Rozy Bez Ognia)",Drama,7/5/1954,Bunnie McIlvenna,$78896236.00,7.9,127,Jabberbean,Function-based radical toolset
"Prophet, A (Un Prophète)",Horror,1/19/1966,Salome Roony,$22259416.13,3.1,201,Realmix,Innovative intangible internet solution
Gangs of New York,Romance,11/1/1993,Constantino Bythway,$71285880.66,0.4,117,Eazzy,Profit-focused high-level matrix
Return to Never Land,Drama,4/7/2020,Dorey Syder,$58463587.64,6.4,211,Flipstorm,Monitored homogeneous utilisation
"Four, The (Si da ming bu)",Drama,10/20/1931,Jason Boyne,$88157822.96,9.0,66,Agimba,Adaptive holistic secured line
Bob Funk,Drama,7/16/2001,Rusty Hutchin,$5145253.87,9.6,194,Kazu,Advanced real-time approach
"Hunted, The",Drama,12/11/1923,Annalee Cattroll,$80906342.40,9.9,214,Roombo,Team-oriented asymmetric benchmark
The Pirates of Blood River,Drama,3/3/1995,Marybeth Seeger,$34681103.74,1.6,207,Gabcube,Reactive intangible software
Crocodile Dundee in Los Angeles,Romance,10/6/1942,Niko Rideout,$12522028.84,3.2,159,Quatz,Implemented heuristic orchestration
Suture,Horror,5/20/1969,Fabiano Coult,$43912350.96,2.0,178,Quatz,Team-oriented 6th generation service-desk
Model,Action,9/17/1906,Kari Danielsson,$25274416.01,6.2,95,Topdrive,Function-based systematic contingency
Garfield: A Tail of Two Kitties,Comedy,1/2/1934,Oswell Feldmus,$71088937.39,0.5,232,Aibox,Assimilated object-oriented groupware
My Dear Desperado,Action,12/5/1921,Fitz Maleney,$58157646.90,3.0,186,Meedoo,Multi-layered eco-centric system engine
Drunks,Romance,2/22/1978,Glennie McIlvaney,$14558818.39,9.2,159,Wordware,User-centric grid-enabled access
"Protector, The (a.k.a. Warrior King) (Tom yum goong)",Action,4/12/1959,Kaleena Rolance,$66866021.44,3.2,71,Eare,Multi-lateral 3rd generation flexibility
Good,Drama,7/29/1927,Adams Wigelsworth,$77790128.03,5.0,142,Jabberbean,Configurable contextually-based protocol
Bikini Summer III - South Beach Heat,Action,9/18/1939,Corina Tellenbrook,$88309177.00,3.8,116,Divanoodle,Phased grid-enabled parallelism
Foodfight!,Comedy,5/29/1989,Salvador Congreve,$88607984.45,9.8,80,Meemm,Adaptive heuristic system engine
China O'Brien,Romance,2/9/1986,Eben Jaegar,$78206967.80,0.9,65,Yozio,Extended content-based circuit
Hack!,Horror,5/22/2003,Hermia Gorhardt,$99738541.65,3.7,207,Devshare,Virtual 5th generation conglomeration
"Eye of Vichy, The (Oeil de Vichy, L')",Comedy,7/12/1921,Orrin Qusklay,$72178722.84,3.4,171,Zava,Re-contextualized mission-critical local area network
Asylum Blackout,Action,6/25/1961,Auguste Arnatt,$51716157.34,9.2,174,Skyba,Focused empowering project
8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women),Drama,4/5/1979,Mommy Janicijevic,$80328576.87,1.0,197,Wikizz,Polarised web-enabled portal
Dirty Ho (Lan tou He),Romance,11/1/1994,Ansel Garms,$6304437.69,6.9,77,JumpXS,Realigned heuristic knowledge base
"November Man, The",Romance,9/11/1906,Philis Galley,$78592310.89,0.3,85,Tambee,Operative uniform encryption
First Daughter,Romance,5/24/1915,Armstrong Storrah,$93293696.05,0.0,160,Voomm,User-friendly systematic extranet
$9.99,Romance,1/11/1996,Tamarra Treasaden,$71027866.20,7.4,79,Centizu,Centralized mission-critical moderator
Hour of the Wolf (Vargtimmen),Drama,12/1/1943,Lewiss Jolly,$8138945.03,9.0,213,Gabtype,Team-oriented even-keeled moderator
"Slaughter Rule, The",Drama,5/15/1938,Karine Seebright,$1791128.27,5.7,140,Kimia,Optimized solution-oriented algorithm
Cop in Drag,Action,4/12/1995,Amber Dikle,$10217995.14,2.3,185,Edgewire,Programmable reciprocal core
Celebrity,Horror,9/10/1980,Moina Leftley,$52857917.52,8.9,148,Kwimbee,Quality-focused maximized success
Stay,Horror,7/6/1941,Linnet Rizzello,$62043010.42,5.3,93,Buzzdog,Synchronised foreground complexity
Bolivia,Comedy,3/5/1914,Rasla Plastow,$48468429.50,2.7,239,Twitterbeat,Innovative cohesive orchestration
Kissing a Fool,Romance,12/22/2018,Ulric Letterese,$90799022.38,3.5,155,Jetpulse,Public-key full-range system engine
Tully,Horror,8/1/1938,Fredia Jeenes,$92776640.98,5.4,192,Feedfire,Fundamental dedicated knowledge base
Tony,Action,11/6/1945,Pacorro Gillcrist,$72558344.70,8.7,113,Edgeclub,Mandatory 5th generation portal
Satin Rouge,Romance,8/8/1972,Rorie Turvey,$43016112.89,1.6,215,Voomm,Mandatory coherent adapter
Hovering Over the Water (À Flor do Mar),Romance,5/27/1915,Adora Dowbiggin,$45750745.01,7.4,100,Zoonder,Managed global concept
My First Mister,Romance,10/4/1980,Harrietta Smye,$55893218.77,4.2,74,Devshare,Monitored human-resource help-desk
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Comedy,2/23/2001,Jacenta Cockaday,$69196610.13,2.1,124,Jayo,Virtual optimizing instruction set
Deserter (Dezertir),Drama,10/5/1931,Viva Smails,$3464546.19,6.9,117,Cogidoo,Robust reciprocal strategy
"Grandpa for Christmas, A (Bert & Becca)",Romance,6/26/1997,Petra Dorrins,$60663078.05,0.2,71,JumpXS,Profound human-resource moratorium
Restless Souls (Bag det stille ydre),Drama,10/25/2007,Carlene Eastmond,$32503754.79,4.4,233,Zoomdog,Re-contextualized system-worthy orchestration
Alias Betty (Betty Fisher et autres histoires),Comedy,10/19/1970,Noland Sloey,$47838446.54,2.8,133,Skalith,Robust modular extranet
"Brave, The",Romance,3/26/2010,Siana Hovy,$31472940.15,9.4,214,Youtags,Team-oriented modular support
Bugmaster (Mushishi),Horror,5/19/1982,Livvie Evitts,$88295123.62,8.4,102,Buzzbean,Visionary web-enabled process improvement
Anywhere But Here,Romance,12/29/1920,Bianka Filchagin,$71385673.76,6.8,126,Tavu,Monitored human-resource standardization
Kambakkht Ishq (Incredible Love),Action,3/9/1928,Meredeth Smither,$86847188.46,4.6,105,Jabbersphere,Organized zero administration framework
Crocodile Dundee,Horror,4/25/2013,Giacinta Comizzoli,$8820648.98,3.1,188,BlogXS,Synergistic needs-based toolset
Everyone's Hero,Action,1/1/2009,Christa Baggally,$72009016.38,6.1,228,Midel,Reverse-engineered exuding ability
Room at the Top,Drama,11/13/2015,Nolly Blastock,$50257324.81,7.2,79,Meejo,Organized high-level benchmark
Freezer,Action,5/29/1948,Nicholle Danton,$73083373.14,5.4,155,Thoughtmix,Triple-buffered mobile structure
Jerry Maguire,Drama,12/25/1923,Lauralee Oven,$35045802.61,7.0,184,Meetz,Multi-tiered uniform productivity
In the Shadow of the Machine,Action,9/16/1965,Reinhold Offener,$2091067.26,8.6,201,Twitterlist,Realigned needs-based infrastructure
Snake Woman's Curse,Comedy,5/4/1963,Janina Lightbody,$42514083.57,2.1,141,Quimm,Versatile logistical website
9 Star Hotel (Malon 9 Kochavim),Horror,8/13/1986,Halsey Cleworth,$94722750.90,1.7,84,Photojam,Profit-focused directional adapter
Mildred Pierce,Horror,5/29/2009,Lyon Benyan,$84203584.77,7.9,235,Brainsphere,Programmable asynchronous success
Basic Instinct,Comedy,1/11/1942,Mellisa Aliman,$93728327.49,1.6,162,Voomm,Total coherent focus group
Sholay,Drama,9/6/1976,Barris Brooks,$73488638.99,9.7,131,Mynte,Multi-lateral modular benchmark
Kabluey,Comedy,9/17/1984,Jacynth Farlow,$31226763.69,8.4,93,Vidoo,User-centric dedicated synergy
Humboldt County,Drama,11/15/1963,Kailey Sillito,$78454504.82,7.5,199,Fivespan,Synergized 5th generation frame
Rocker,Drama,11/15/1944,Thorvald Rainsbury,$2874189.88,6.6,213,Edgewire,Cross-platform leading edge monitoring
Virunga,Horror,6/15/1966,Hendrik Coolbear,$88100896.40,3.1,236,Tavu,Ameliorated contextually-based website
"Take, The",Drama,8/18/1940,Eba Dalley,$1902977.76,1.5,197,Photolist,Switchable asynchronous hierarchy
Funky Forest: The First Contact,Horror,10/22/1933,Lona Arghent,$18859543.47,9.4,163,Izio,Re-contextualized coherent flexibility
Atlas Shrugged: Who Is John Galt? (Atlas Shrugged: Part III),Action,6/15/1976,Norri Simon,$73977897.63,3.6,167,Plajo,Streamlined object-oriented strategy
Cop in Drag,Comedy,11/8/1956,Marcia McPeck,$12368505.21,6.0,205,Browsedrive,Reactive asynchronous open system
"Dukes, The",Horror,1/25/1915,Taryn MacDwyer,$1892157.86,4.9,220,Browsebug,Triple-buffered zero tolerance website
"Endurance: Shackleton's Legendary Antarctic Expedition, The",Action,4/22/1963,Jacquelynn Thomasen,$33400710.14,7.4,229,Eidel,Multi-channelled web-enabled synergy
25 Watts,Action,8/8/1973,Agosto Ulrik,$26377509.30,2.4,222,Topicblab,Optimized eco-centric hub
Don't Go In the Woods,Comedy,5/24/1991,Emelda Peret,$39591761.00,5.5,192,Ozu,Business-focused 3rd generation protocol
Moebius Redux: A Life in Pictures,Horror,4/25/1959,Tabby Fice,$91183326.69,1.7,139,Yadel,Upgradable bottom-line artificial intelligence
Lilla Jönssonligan och Cornflakeskuppen,Action,8/1/2002,Tori Carrier,$15257567.67,4.4,202,Meejo,Innovative maximized core
Chicken Little,Drama,11/19/1912,Onfre Muehler,$56961638.86,1.0,90,Quimba,Public-key fresh-thinking adapter
"Edge, The (Kray)",Horror,3/14/1922,Jo-ann Carbery,$6894775.45,8.6,95,Babblestorm,Triple-buffered bandwidth-monitored task-force
Cantinflas,Horror,2/6/1945,Pasquale Davage,$54385778.75,9.0,95,Gabtype,Organized 4th generation productivity
Jack Strong,Drama,4/12/1991,Jennifer Wooffitt,$17738373.03,0.1,129,Thoughtbeat,Quality-focused intangible strategy
3 Idiots,Horror,1/18/1929,Jenilee Bulgen,$58997725.61,6.7,148,Tagcat,Devolved zero defect strategy
"Secret Life of Words, The",Drama,8/24/1983,Burr Wetter,$83020964.05,5.2,209,Eayo,Inverse client-server open architecture
Bush Mama,Horror,7/16/2010,Gladi Kenaway,$78198096.77,8.7,128,Leenti,Re-engineered reciprocal website
Coming Home,Action,12/15/1990,Marshall Badgers,$26380526.39,4.2,178,Voomm,Cloned coherent structure
13 Ghosts,Action,3/23/1950,Tildie Harcourt,$14179190.69,0.3,78,Flipstorm,Devolved actuating implementation
Afterglow,Comedy,2/10/1999,Kimbra Friel,$56057090.82,1.6,78,Kaymbo,Profound disintermediate knowledge user
"Christmas Carol, A",Comedy,5/6/1969,Llywellyn Gerrets,$24902777.95,10.0,73,Aibox,Extended systemic productivity
Friday,Comedy,3/25/1933,Addia Aimeric,$61300212.57,5.4,123,Tekfly,Automated tangible parallelism
Peggy Sue Got Married,Romance,12/22/1907,Hinze Griffitt,$87231889.93,1.1,92,Shufflebeat,Optimized incremental instruction set
Big Night,Romance,8/27/1957,Mellisent Dell Casa,$43322030.97,4.0,120,Minyx,Customer-focused reciprocal forecast
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,Action,10/29/1921,Claretta Brabant,$36284876.42,8.2,167,Geba,User-centric secondary knowledge base
Brick,Drama,4/19/1963,Merla Di Francecshi,$43514946.13,0.8,189,Kwinu,Reverse-engineered disintermediate Graphical User Interface
Hotel Transylvania,Drama,8/26/1985,Judye Brownlee,$46176681.48,7.2,148,Pixonyx,Function-based 5th generation policy
Operation Dumbo Drop,Horror,1/8/1958,Juliana Ciccone,$3327339.30,6.4,92,Thoughtstorm,Profound full-range utilisation
Dragonfly,Comedy,4/18/1908,Amble Keenor,$45519785.68,2.9,78,Jabbertype,Switchable radical infrastructure
Total Recall,Drama,7/10/1974,Flory Couroy,$60699896.96,3.2,193,Shuffledrive,Networked explicit help-desk
Forsaking All Others,Action,10/22/1989,Hollyanne Gildea,$82277867.34,1.0,124,Mycat,Optimized leading edge complexity
The Stone Council,Action,12/7/1997,Ellary Lindro,$20083684.55,2.1,197,Shufflester,Open-architected hybrid function
Teddy Bear (10 timer til Paradis),Romance,4/6/1910,Adelle Peotz,$63872632.13,2.5,123,Oyonder,Secured actuating interface
"Welcome Home, Roscoe Jenkins",Action,8/2/1983,Bunny Boik,$13808298.46,9.6,139,Gigabox,Streamlined heuristic capacity
"Maradona, the Hand of God (Maradona, la mano di Dio)",Drama,5/3/1923,Donny Shakelade,$86616700.13,0.9,196,Linktype,Realigned systematic collaboration
Kingsman: The Secret Service,Comedy,7/21/1927,Sarine Basile,$31108489.42,6.5,180,Realpoint,Reactive intangible local area network
Where Sleeping Dogs Lie,Drama,7/10/1961,Xavier Twelvetrees,$62444843.97,1.2,208,Skivee,Monitored encompassing website
Jennifer's Body,Horror,7/20/1926,Thor Feldman,$72279176.08,0.7,175,Layo,Self-enabling zero defect support
Intimidation,Comedy,10/29/1989,Vonnie Hartright,$57628211.20,9.0,106,Eayo,Persistent next generation local area network
"Greystoke: The Legend of Tarzan, Lord of the Apes",Drama,5/7/1968,Grange Tremble,$3320645.29,6.9,128,Janyx,Multi-channelled composite monitoring
B*A*P*S,Romance,11/16/1916,Jonis Isbell,$48667560.27,9.3,98,Zazio,Extended zero defect architecture
Hori Smoku Sailor Jerry: The Life of Norman K. Collins ,Horror,12/24/2014,Aldon Glynn,$72604225.13,0.4,84,DabZ,Compatible composite Graphic Interface
Killers from Space,Action,6/7/1913,Ronald Cady,$88974746.29,7.5,95,Photolist,Inverse local definition
Dragon (Wu Xia),Comedy,9/11/1928,Alejandrina Wewell,$85259961.42,2.4,212,Devify,Reactive motivating initiative
Bandwagon,Drama,2/5/1901,Averyl McGifford,$6759118.79,2.6,88,Zoomcast,Decentralized secondary archive
Dementia 13,Horror,7/20/2012,Vonny Ecclestone,$39722371.46,2.8,73,Devpulse,Implemented leading edge adapter
"Europeans, The",Action,2/17/1980,Bibby Jurasz,$87685044.76,3.1,129,Trupe,Synergized disintermediate system engine
Behind Enemy Lines,Comedy,12/15/1950,Xenos Eshmade,$11212588.89,3.8,220,Jayo,Operative scalable help-desk
You Ain't Seen Nothin' Yet (Vous n'avez encore rien vu),Action,5/29/1939,Delinda Eighteen,$89191740.79,5.9,237,Zoomlounge,User-centric foreground artificial intelligence
Aya of Yop City,Action,2/14/1911,Ulises Castagnasso,$80385850.09,0.2,174,Twitternation,Multi-layered 3rd generation open system
Ballerina (La mort du cygne),Action,1/12/1950,Wood Kleinhausen,$33021881.71,2.4,227,Devcast,Open-architected web-enabled archive
"Crying Out Love in the Center of the World (Sekai no chûshin de, ai o sakebu)",Action,5/26/2010,Prentiss Realy,$73132135.48,2.7,73,Youbridge,Assimilated 24/7 local area network
Sympathy for Mr. Vengeance (Boksuneun naui geot),Drama,5/22/1998,Christoper Petrishchev,$46583620.71,4.0,224,Wikivu,Re-engineered leading edge installation
Charlotte Sometimes,Action,5/19/2018,Roselle Cohr,$74394576.96,0.8,236,Feedbug,Exclusive high-level encryption
Wetherby,Action,10/27/2003,Francoise Santello,$84729216.61,2.5,77,Realcube,Secured national migration
"Divorcee, The",Horror,4/26/1909,Jackie Redmain,$1965.19,7.2,171,Gigaclub,Focused methodical knowledge base
Born to Dance,Drama,1/5/1945,Rasla Jurn,$75065350.73,10.0,177,Jabbercube,User-centric transitional model
Planet B-Boy,Horror,11/13/2002,Kendre Kedie,$4754624.10,8.9,108,Mybuzz,Secured 24/7 ability
Wish You Were Here,Horror,8/13/1906,Mil Pinchback,$88740803.18,6.4,221,Skidoo,Organic impactful hierarchy
"Genova (Summer in Genoa, A)",Comedy,6/8/2019,Goraud Wasielewski,$88067987.74,7.3,237,Twitterworks,Multi-layered asymmetric function
Cast A Deadly Spell,Horror,7/2/1951,Kare Eskell,$28036285.16,4.8,237,Bubbletube,Programmable high-level functionalities
Hardcore,Drama,5/7/1932,Reeba Collingridge,$99676486.98,1.8,240,Teklist,Advanced intangible firmware
Apostle Peter and The Last Supper,Romance,12/20/1906,Emlyn Espadero,$4841723.55,7.7,144,Wordpedia,Intuitive system-worthy solution
One in the Chamber,Action,9/11/1949,Myrtice de Keyser,$33215683.17,4.8,120,Trilith,Secured fresh-thinking project
Used Cars,Romance,3/31/1978,Tait Schultheiss,$78719998.26,7.6,222,Rhynyx,Polarised local groupware
Après lui,Comedy,3/17/2018,Cyrillus Sowman,$74497467.08,7.4,162,Wikizz,Object-based scalable pricing structure
Logorama,Horror,2/8/1918,Inez Stobbs,$50074303.82,4.5,66,Quaxo,User-centric scalable instruction set
Xingu ,Horror,4/3/1952,Rhianon Trivett,$81086784.25,5.3,170,Brainlounge,Compatible global definition
Welfare,Romance,1/16/1991,Bernadette Gaffer,$9574439.53,6.8,185,Skaboo,Face to face attitude-oriented support
"Cry in the Night, A",Comedy,10/7/2020,Karola Gunnell,$79494241.74,1.7,211,Cogibox,Polarised 24/7 knowledge user
Reggie Watts: Why Shit So Crazy?,Horror,9/22/1975,Devlen Snepp,$40159484.04,8.0,204,Jayo,Virtual intangible strategy
City of Fear,Action,12/31/2000,Riordan Riddett,$31646902.49,3.5,178,Aivee,Phased bottom-line protocol
Arnold,Horror,7/3/1929,Bettina Broughton,$57186673.72,9.3,143,Eabox,Horizontal multimedia parallelism
"Common Wealth (Comunidad, La)",Romance,12/15/1923,Beatrice Erasmus,$59875913.23,5.9,65,Meevee,Visionary multi-tasking task-force
Some Guy Who Kills People,Action,8/10/1928,Annora Fentem,$7000761.62,5.1,222,Tagfeed,Intuitive holistic internet solution
"Keys to the House, The (Chiavi di casa, Le)",Comedy,11/1/2016,Marjory Tripean,$16568311.78,8.5,97,Wordtune,Customizable composite leverage
Vermont Is For Lovers,Comedy,4/27/1943,Boris Hubatsch,$94707093.05,2.3,214,Devcast,Exclusive holistic support
"Swinger, The",Action,9/12/2012,Boniface Davidescu,$69796133.89,9.2,148,Skiba,Inverse client-driven system engine
Dead Fury,Action,10/8/1917,Aundrea Morrallee,$81976502.60,5.5,176,Innotype,Vision-oriented value-added database
Last Train from Gun Hill,Horror,11/3/1928,Shem Cumbridge,$87060375.59,1.3,225,Shufflebeat,Customizable scalable conglomeration
"Snapper, The",Drama,4/23/1905,Ursola Harniman,$37846825.00,5.9,228,Browsebug,User-centric hybrid projection
Lakota Woman: Siege at Wounded Knee,Horror,10/15/1994,Daryl Allnatt,$99300981.18,4.2,192,Miboo,Organic encompassing installation
Elite Squad (Tropa de Elite),Romance,10/22/1919,Leontine Plascott,$53058537.16,3.5,65,Zooxo,Persevering eco-centric projection
Sunday Bloody Sunday,Romance,8/19/1937,Brandais Scain,$1524396.58,0.1,222,Twitterwire,Secured holistic alliance
